Iteración,Tiempo (segundos)
1,6.870323
2,5.735484
3,5.937114
4,0.062948
5,5.843035
6,5.822190
7,6.098908
8,0.063441
9,0.060652
10,5.756257
11,5.703689
12,5.596308
13,5.790124
14,5.713398
15,1.685499
16,5.604728
17,5.769299
18,5.652278
19,5.702689
20,5.660132
21,3.272146
22,5.721368
23,0.064521
24,5.634894
25,5.645617
26,0.068698
27,2.915375
28,0.060774
29,5.693850
30,5.761624
31,5.759678
32,5.544067
33,0.467211
34,5.686224
35,3.308274
36,5.727193
37,5.758137
38,0.063455
39,5.674109
40,0.071891
41,0.837930
42,5.767728
43,5.743404
44,0.060658
45,5.664638
46,5.728270
47,0.068054
48,0.057661
49,3.537649
50,0.419019
