Iteración,Tiempo (segundos)
1,1.719012
2,0.233387
3,2.464994
4,0.255715
5,0.321968
6,1.190854
7,0.231669
8,2.555103
9,0.306994
10,0.236521
11,0.230445
12,0.241900
13,0.245276
14,0.244985
15,0.253388
16,0.233789
17,0.333851
18,0.297772
19,0.312011
20,0.461348
21,2.494006
22,0.245789
23,0.263057
24,0.237640
25,0.257212
26,0.278352
27,0.344783
28,0.337582
29,0.261904
30,0.288083
31,0.232751
32,0.261883
33,0.230228
34,2.534119
35,0.274269
36,0.244078
37,0.292890
38,2.539626
39,0.255735
40,0.242736
41,0.251128
42,0.282705
43,0.325092
44,0.242136
45,0.233395
46,2.714483
47,0.272475
48,0.264182
49,2.184643
50,0.311454
