Iteración,Tiempo (segundos)
1,1.122414
2,0.008212
3,0.006746
4,0.007381
5,0.008164
6,0.006644
7,0.007638
8,0.007395
9,0.006986
10,0.007955
11,0.010356
12,0.006863
13,0.007641
14,0.009449
15,0.008079
16,0.007550
17,0.012890
18,0.012404
19,0.013731
20,0.009606
21,0.011029
22,0.007945
23,0.008690
24,0.007665
25,0.007510
26,0.010451
27,0.006476
28,0.006672
29,0.006936
30,0.006767
31,0.006788
32,0.006974
33,0.010587
34,0.007008
35,0.007531
36,0.007944
37,0.008256
38,0.008634
39,0.007186
40,0.007101
41,0.008611
42,0.007370
43,0.008060
44,0.008343
45,0.007463
46,0.007375
47,0.007854
48,0.006540
49,0.006626
50,0.006665
