Iteración,Tiempo (segundos)
1,0.605223
2,0.006478
3,0.028158
4,0.008103
5,0.022450
6,0.058183
7,0.006693
8,0.021095
9,0.008432
10,0.009902
11,0.008562
12,0.007801
13,0.007898
14,0.007538
15,0.010345
16,0.007590
17,0.006930
18,0.007818
19,0.006570
20,0.007907
21,0.007744
22,0.009265
23,0.009003
24,0.011082
25,0.007080
26,0.008017
27,0.008290
28,0.009686
29,0.007978
30,0.007860
31,0.010383
32,0.010652
33,0.009255
34,0.010709
35,0.006339
36,0.006971
37,0.007657
38,0.007479
39,0.008716
40,0.010530
41,0.010666
42,0.006587
43,0.007946
44,0.010734
45,0.008055
46,0.007946
47,0.006718
48,0.007869
49,0.007075
50,0.007359
